data_year,county_fips,county_name,disease_slug,case_count,is_suppressed,data_source
2024,36005,Bronx,mumps,30,0,annual-report-pdf
2024,36005,Bronx,neonatal-herpes,13,0,annual-report-pdf
2024,36005,Bronx,pertussis,1109,0,annual-report-pdf
2024,36005,Bronx,q-fever,1,0,annual-report-pdf
2024,36005,Bronx,rocky-mountain-spotted-fever,2,0,annual-report-pdf
2024,36005,Bronx,rsv,47716,0,annual-report-pdf
2024,36005,Bronx,salmonellosis,1987,0,annual-report-pdf
2024,36005,Bronx,shigellosis,2118,0,annual-report-pdf
2024,36005,Bronx,strep-a-invasive,632,0,annual-report-pdf
2024,36005,Bronx,strep-b-invasive,27,0,annual-report-pdf
2024,36005,Bronx,strep-pneumo-invasive,770,0,annual-report-pdf
2024,36005,Bronx,syphilis-early,4309,0,annual-report-pdf
2024,36005,Bronx,syphilis-late,3142,0,annual-report-pdf
2024,36005,Bronx,tetanus,2,0,annual-report-pdf
2024,36005,Bronx,toxic-shock-syndrome,16,0,annual-report-pdf
2024,36005,Bronx,tuberculosis,839,0,annual-report-pdf
2024,36005,Bronx,tularemia,2,0,annual-report-pdf
2024,36005,Bronx,typhoid-fever,33,0,annual-report-pdf
2024,36005,Bronx,varicella,269,0,annual-report-pdf
2024,36005,Bronx,vibriosis,202,0,annual-report-pdf
2024,36005,Bronx,visa-staph,,1,annual-report-pdf
2024,36005,Bronx,west-nile-fever,10,0,annual-report-pdf
2024,36005,Bronx,west-nile-virus,26,0,annual-report-pdf
2024,36005,Bronx,yersiniosis,818,0,annual-report-pdf
2024,36007,Broome,acute-flaccid-myelitis,0,0,annual-report-pdf
2024,36007,Broome,amebiasis,0,0,annual-report-pdf
2024,36007,Broome,anaplasmosis,67,0,annual-report-pdf
2024,36007,Broome,babesiosis,12,0,annual-report-pdf
2024,36007,Broome,blastomycosis,0,0,annual-report-pdf
2024,36007,Broome,botulism,0,0,annual-report-pdf
2024,36007,Broome,brucellosis,0,0,annual-report-pdf
2024,36007,Broome,campylobacteriosis,52,0,annual-report-pdf
2024,36007,Broome,candida-auris,0,0,annual-report-pdf
2024,36007,Broome,chikungunya,0,0,annual-report-pdf
2024,36007,Broome,chlamydia,602,0,annual-report-pdf
2024,36007,Broome,cryptosporidiosis,8,0,annual-report-pdf
2024,36007,Broome,cyclosporiasis,2,0,annual-report-pdf
2024,36007,Broome,dengue-fever,0,0,annual-report-pdf
2024,36007,Broome,diphtheria,0,0,annual-report-pdf
2024,36007,Broome,e-coli-stec,4,0,annual-report-pdf
2024,36007,Broome,ehrlichiosis,0,0,annual-report-pdf
2024,36007,Broome,giardiasis,24,0,annual-report-pdf
2024,36007,Broome,gonorrhea,228,0,annual-report-pdf
2024,36007,Broome,haemophilus-influenzae,3,0,annual-report-pdf
2024,36007,Broome,hemolytic-uremic-syndrome,0,0,annual-report-pdf
2024,36007,Broome,hepatitis-a,1,0,annual-report-pdf
2024,36007,Broome,hepatitis-b-acute,1,0,annual-report-pdf
2024,36007,Broome,hepatitis-b-chronic,16,0,annual-report-pdf
2024,36007,Broome,hepatitis-c-acute,1,0,annual-report-pdf
2024,36007,Broome,hepatitis-c-chronic,61,0,annual-report-pdf
2024,36007,Broome,influenza,3556,0,annual-report-pdf
2024,36007,Broome,legionellosis,6,0,annual-report-pdf
2024,36007,Broome,listeriosis,2,0,annual-report-pdf
2024,36007,Broome,lyme-disease,292,0,annual-report-pdf
2024,36007,Broome,malaria,0,0,annual-report-pdf
2024,36007,Broome,measles,0,0,annual-report-pdf
2024,36007,Broome,meningitis-aseptic,1,0,annual-report-pdf
2024,36007,Broome,meningitis-bacterial,0,0,annual-report-pdf
2024,36007,Broome,meningococcal,0,0,annual-report-pdf
2024,36007,Broome,mumps,0,0,annual-report-pdf
2024,36007,Broome,neonatal-herpes,0,0,annual-report-pdf
2024,36007,Broome,pertussis,5,0,annual-report-pdf
2024,36007,Broome,q-fever,0,0,annual-report-pdf
2024,36007,Broome,rocky-mountain-spotted-fever,0,0,annual-report-pdf
2024,36007,Broome,rsv,715,0,annual-report-pdf
2024,36007,Broome,salmonellosis,22,0,annual-report-pdf
2024,36007,Broome,shigellosis,6,0,annual-report-pdf
2024,36007,Broome,strep-a-invasive,33,0,annual-report-pdf
2024,36007,Broome,strep-b-invasive,17,0,annual-report-pdf
2024,36007,Broome,strep-pneumo-invasive,22,0,annual-report-pdf
2024,36007,Broome,syphilis-early,16,0,annual-report-pdf
2024,36007,Broome,syphilis-late,10,0,annual-report-pdf
2024,36007,Broome,tetanus,0,0,annual-report-pdf
2024,36007,Broome,toxic-shock-syndrome,0,0,annual-report-pdf
2024,36007,Broome,tuberculosis,0,0,annual-report-pdf
2024,36007,Broome,tularemia,0,0,annual-report-pdf
2024,36007,Broome,typhoid-fever,2,0,annual-report-pdf
