county_fips,county_name,pathogen_slug,pathogen_raw,sample_date,percentile,detect_prop_15d,trend_pct_15d,our_level,our_trend,plant_name,population_served,fetched_at
36071,Orange,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1368,8568,2026-06-30T13:29:31Z
36071,Orange,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1369,6563,2026-06-30T13:29:31Z
36071,Orange,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1370,28914,2026-06-30T13:29:31Z
36071,Orange,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1371,6729,2026-06-30T13:29:31Z
36073,Orleans,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1375,6191,2026-06-30T13:29:31Z
36075,Oswego,covid-19,SARS-CoV-2,2026-06-20,0.56,,,low,stable,ID:1378,30000,2026-06-30T13:29:31Z
36075,Oswego,influenza,Influenza A virus,2026-06-20,2.1,,,low,stable,ID:1378,30000,2026-06-30T13:29:31Z
36075,Oswego,rsv,RSV,2026-06-20,1.0,,,low,stable,ID:1378,30000,2026-06-30T13:29:31Z
36077,Otsego,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1381,19383,2026-06-30T13:29:31Z
36079,Putnam,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1382,4480,2026-06-30T13:29:31Z
36083,Rensselaer,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1389,79699,2026-06-30T13:29:31Z
36083,Rensselaer,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1390,13720,2026-06-30T13:29:31Z
36087,Rockland,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1393,36527,2026-06-30T13:29:31Z
36087,Rockland,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1395,207430,2026-06-30T13:29:31Z
36087,Rockland,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1396,12676,2026-06-30T13:29:31Z
36087,Rockland,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1397,10890,2026-06-30T13:29:31Z
36091,Saratoga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1404,152482,2026-06-30T13:29:31Z
36093,Schenectady,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1405,78444,2026-06-30T13:29:31Z
36095,Schoharie,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1406,5326,2026-06-30T13:29:31Z
36099,Seneca,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1408,6961,2026-06-30T13:29:31Z
36099,Seneca,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1409,6160,2026-06-30T13:29:31Z
36101,Steuben,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1410,5941,2026-06-30T13:29:31Z
36101,Steuben,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1412,5162,2026-06-30T13:29:31Z
36105,Sullivan,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1424,6639,2026-06-30T13:29:31Z
36105,Sullivan,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1425,4925,2026-06-30T13:29:31Z
36107,Tioga,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1429,3750,2026-06-30T13:29:31Z
36109,Tompkins,covid-19,SARS-CoV-2,2026-06-20,0.15,,,low,stable,ID:1431,90000,2026-06-30T13:29:31Z
36109,Tompkins,influenza,Influenza A virus,2026-06-20,2.34,,,low,stable,ID:1431,90000,2026-06-30T13:29:31Z
36109,Tompkins,rsv,RSV,2026-06-20,2.46,,,low,stable,ID:1431,90000,2026-06-30T13:29:31Z
36111,Ulster,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1432,26599,2026-06-30T13:29:31Z
36111,Ulster,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1433,10577,2026-06-30T13:29:31Z
36113,Warren,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1435,23462,2026-06-30T13:29:31Z
36115,Washington,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1437,12260,2026-06-30T13:29:31Z
36117,Wayne,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1439,8931,2026-06-30T13:29:31Z
36117,Wayne,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1440,5145,2026-06-30T13:29:31Z
36119,Westchester,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1441,78683,2026-06-30T13:29:31Z
36119,Westchester,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1442,94095,2026-06-30T13:29:31Z
36119,Westchester,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1443,44876,2026-06-30T13:29:31Z
36119,Westchester,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1444,31046,2026-06-30T13:29:31Z
36119,Westchester,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1445,523765,2026-06-30T13:29:31Z
36119,Westchester,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1446,26651,2026-06-30T13:29:31Z
36119,Westchester,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1447,40301,2026-06-30T13:29:31Z
36121,Wyoming,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1448,3448,2026-06-30T13:29:31Z
36123,Yates,covid-19,SARS-CoV-2,2026-06-13,1.0,,,low,stable,ID:1449,5339,2026-06-30T13:29:31Z
