county_fips,county_name,pathogen_slug,pathogen_raw,sample_date,percentile,detect_prop_15d,trend_pct_15d,concentration,our_level,our_trend,plant_id,plant_name,population_served,fetched_at
36057,Montgomery,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1327,ID:1327,19679,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-11,3.02,,,,low,stable,ID:1336,ID:1336,8288,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-11,2.4,,,,low,stable,ID:1335,ID:1335,20616,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1334,ID:1334,5824,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-11,0.4,,,,low,stable,ID:1332,ID:1332,24041,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-11,0.8,,,,low,stable,ID:1331,ID:1331,27494,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-11,0.74,,,,low,stable,ID:1330,ID:1330,524955,2026-07-27T10:43:16Z
36059,Nassau,covid-19,SARS-CoV-2,2026-07-11,0.55,,,,low,stable,ID:1329,ID:1329,611349,2026-07-27T10:43:16Z
36063,Niagara,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1343,ID:1343,5632,2026-07-27T10:43:16Z
36063,Niagara,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1341,ID:1341,31032,2026-07-27T10:43:16Z
36063,Niagara,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1339,ID:1339,48196,2026-07-27T10:43:16Z
36065,Oneida,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:2566,ID:2566,55215,2026-07-27T10:43:16Z
36065,Oneida,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1353,ID:1353,6076,2026-07-27T10:43:16Z
36065,Oneida,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1351,ID:1351,3210,2026-07-27T10:43:16Z
36065,Oneida,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1350,ID:1350,3990,2026-07-27T10:43:16Z
36065,Oneida,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1346,ID:1346,27849,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1361,ID:1361,25965,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1360,ID:1360,3272,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1359,ID:1359,50727,2026-07-27T10:43:16Z
36067,Onondaga,covid-19,SARS-CoV-2,2026-07-11,1.0,,,,low,stable,ID:1357,ID:1357,242377,2026-07-27T10:43:16Z
